is_hit,is_visualization,is_dash,start_distance,start_delay,pre_delay,mid_delay,post_delay,attack_size,attack_pattern,attack_count
0,1,0,1167,0.402,0.226,0.435,0.363,181,5,3
0,0,0,1452,0.308,0.541,0.253,0.391,183,2,4
0,0,0,1037,0.574,0.164,0.118,0.324,215,1,5
0,1,0,864,0.48,0.695,0.625,0.237,201,4,6
1,0,0,552,0.49,0.543,0.18,0.308,242,3,7
0,1,0,1439,0.494,0.236,0.198,0.385,191,5,8
1,0,0,1496,0.657,0.184,0.878,0.516,237,2,9
1,0,0,1284,0.995,0.262,0.491,0.39,210,1,10
1,1,0,848,0.754,0.218,0.3,0.269,199,5,14
0,1,0,1257,0.993,0.671,0.456,0.595,235,2,1
0,1,0,524,0.907,0.534,0.383,0.478,195,3,2
0,0,0,736,0.314,0.216,0.561,0.331,223,4,3
0,0,0,802,0.739,0.33,0.213,0.353,182,5,4
0,1,0,957,0.721,0.354,0.221,0.367,183,1,5
1,1,0,1023,0.452,0.232,0.11,0.168,267,2,6
1,1,0,900,0.396,0.299,0.704,0.661,240,3,7
0,0,0,842,0.866,0.604,0.123,0.657,198,4,8
0,1,0,907,0.585,0.372,0.447,0.378,175,5,9
1,0,0,1195,0.8,0.394,0.207,0.228,184,1,10
1,0,0,1158,0.254,0.305,0.431,0.27,180,2,1
0,0,0,582,0.429,0.587,0.63,0.692,240,3,2
1,0,0,1058,0.963,0.362,0.406,0.174,207,5,3
1,1,0,708,0.222,0.696,0.764,0.652,222,4,4
1,0,0,1185,0.872,0.326,0.218,0.362,223,5,7
1,1,0,915,0.848,0.192,0.855,0.267,178,3,8
1,1,0,673,0.533,0.266,0.447,0.164,193,4,1
0,1,0,1210,0.69,0.533,0.22,0.497,184,2,2
0,0,0,1203,0.899,0.356,0.329,0.153,203,1,3
1,0,0,1011,0.313,0.24,0.206,0.107,195,5,4
1,0,1,806,0.316,0.591,0.842,0.516,234,3,5
0,1,0,679,0.239,0.285,0.514,0.375,215,4,6
0,0,0,1102,0.602,0.38,0.498,0.358,229,2,7
0,1,0,1294,0.795,0.321,0.234,0.378,204,1,8
1,0,0,678,0.301,0.388,0.297,0.246,191,5,9
0,1,1,872,0.597,0.669,0.718,0.323,188,3,10
0,1,0,872,0.249,0.663,0.419,0.226,180,4,11
1,0,0,1379,0.295,0.128,0.146,0.269,274,2,12
0,0,0,704,0.391,0.395,0.291,0.289,191,1,13
0,1,0,678,0.742,0.684,0.309,0.344,234,2,1
0,1,0,757,0.27,0.699,0.421,0.353,184,3,2
0,1,0,1423,0.836,0.355,0.353,0.364,186,5,3
1,1,0,1321,0.548,0.359,0.299,0.115,197,1,4
0,1,0,583,0.991,0.471,0.336,0.565,215,4,5
0,1,0,1217,0.222,0.666,0.852,0.393,234,2,6
0,1,0,1053,0.743,0.372,0.768,0.304,200,3,7
1,0,0,615,0.303,0.299,0.428,0.244,199,5,8
1,1,0,1397,0.474,0.165,0.273,0.158,176,1,9
0,0,0,571,0.213,0.457,0.767,0.569,225,2,1
1,0,0,558,0.601,0.15,0.24,0.399,175,5,2
1,0,0,1294,0.353,0.276,0.366,0.684,201,3,3
0,0,1,600,0.326,0.243,0.17,0.616,198,4,4
0,1,0,735,0.404,0.325,0.456,0.311,181,1,5
1,1,0,732,0.26,0.649,0.657,0.106,273,2,6
1,0,0,1038,0.735,0.327,0.315,0.151,220,5,6
1,1,0,1108,0.358,0.329,0.662,0.435,234,2,7
0,0,0,1290,0.679,0.441,0.7,0.651,266,2,1
1,1,0,1477,0.919,0.606,0.765,0.181,177,4,2
1,1,0,1122,0.848,0.102,0.354,0.144,179,5,3
1,0,1,1045,0.569,0.211,0.178,0.208,180,1,4
1,1,0,1092,0.975,0.573,0.127,0.54,214,3,5
1,0,1,1426,0.273,0.319,0.151,0.15,215,2,6
1,1,0,1027,0.218,0.667,0.117,0.15,200,4,7
1,1,0,904,0.293,0.373,0.28,0.192,208,1,1
1,1,0,872,0.812,0.259,0.3,0.151,255,2,2
1,0,0,542,0.472,0.119,0.51,0.568,223,4,3
1,1,1,524,0.723,0.407,0.308,0.481,242,3,4
1,0,0,1243,0.924,0.13,0.22,0.295,182,5,5
1,0,1,1485,0.731,0.292,0.14,0.166,203,1,6
0,0,0,558,0.44,0.276,0.288,0.342,222,1,1
0,1,0,614,0.472,0.505,0.274,0.355,223,4,2
0,0,0,507,0.8,0.405,0.139,0.587,177,3,3
0,0,0,705,0.905,0.494,0.47,0.348,188,2,4
1,1,0,977,0.806,0.127,0.317,0.263,198,5,5
0,0,0,1262,0.84,0.395,0.231,0.235,183,1,6
0,1,0,1483,0.616,0.326,0.574,0.175,177,4,7
0,1,0,1307,0.68,0.458,0.601,0.216,263,3,8
1,1,0,932,0.571,0.6,0.33,0.119,193,2,9
1,1,0,779,0.496,0.128,0.113,0.215,177,5,10
1,0,0,519,0.69,0.126,0.394,0.149,213,5,1
1,0,0,877,0.385,0.476,0.466,0.692,263,2,2
1,0,0,939,0.693,0.233,0.226,0.224,189,4,3
1,1,1,1172,0.534,0.322,0.204,0.163,183,1,4
0,0,0,1063,0.763,0.267,0.447,0.356,273,3,5
0,0,0,829,0.884,0.219,0.433,0.231,192,1,4
1,1,1,817,0.351,0.7,0.794,0.167,246,2,7
1,1,0,1345,0.843,0.311,0.401,0.666,184,3,5
0,0,0,805,0.793,0.217,0.428,0.365,196,1,8
0,1,0,557,0.422,0.334,0.505,0.463,219,2,6
1,0,0,1266,0.339,0.363,0.451,0.229,216,4,7
1,0,0,726,0.286,0.598,0.569,0.606,239,3,9
1,0,0,919,0.424,0.213,0.119,0.236,195,5,10
1,0,0,937,0.457,0.374,0.294,0.3,195,5,8
1,0,1,1045,0.531,0.576,0.232,0.29,211,4,11
0,0,0,1289,0.836,0.239,0.454,0.359,188,1,9
1,0,1,1405,0.874,0.274,0.806,0.66,249,3,10
0,0,0,524,0.836,0.597,0.665,0.264,253,2,11
1,1,0,1181,0.652,0.212,0.209,0.17,193,4,12
1,1,1,1373,0.838,0.269,0.194,0.116,184,5,13
0,0,1,1154,0.355,0.166,0.186,0.345,176,1,3
1,1,0,1204,0.658,0.131,0.442,0.561,254,3,4
1,0,0,517,0.408,0.283,0.301,0.113,214,5,5
1,0,1,692,0.322,0.392,0.207,0.279,195,4,6
1,1,1,1263,0.39,0.397,0.629,0.132,242,2,7
1,0,1,1381,0.772,0.108,0.112,0.177,209,1,8
0,0,0,1135,0.247,0.647,0.465,0.487,185,4,1
0,1,0,528,0.365,0.192,0.274,0.614,193,2,2
1,0,0,1329,0.827,0.231,0.21,0.209,220,1,3
0,0,0,1166,0.422,0.255,0.481,0.509,183,2,1
0,1,0,1219,0.722,0.606,0.757,0.487,179,3,4
0,1,0,1095,0.343,0.416,0.604,0.238,180,4,2
0,0,0,652,0.841,0.291,0.104,0.163,191,5,5
0,1,0,668,0.904,0.147,0.439,0.367,194,5,3
1,0,0,1458,0.976,0.693,0.485,0.539,209,4,6
1,1,0,1078,0.327,0.27,0.463,0.154,186,1,3
0,0,0,1391,0.679,0.204,0.466,0.369,210,5,8
0,1,1,556,0.3,0.454,0.179,0.528,218,3,4
